,gen.type.eia,fuel,TCR,PowerCapacity,EnergyCapacity,ChargeEfficiency,DischargeEfficiency,VariableCost
1,BA,Energy Storage,1,2526.154412,2526.154412,0.905538514,0.905538514,0
2,PS,Pumped Storage,3,1070,8560,0.888819442,0.888819442,0
3,PS,Pumped Storage,1,720,5760,0.888819442,0.888819442,0
4,BA,Energy Storage,5,243.2737299,243.2737299,0.905538514,0.905538514,0
5,BA,Energy Storage,4,819.3459225,848.5387701,0.905538514,0.905538514,0
6,PS,Pumped Storage,5,3003,24024,0.888819442,0.888819442,0
7,PS,Pumped Storage,4,420,3360,0.888819442,0.888819442,0
8,BA,Energy Storage,1,5571.912694,40117.7714,0.905538514,0.905538514,0
9,BA,Energy Storage,2,798.3179578,5747.889296,0.905538514,0.905538514,0
10,BA,Energy Storage,3,741.2224206,5336.801428,0.905538514,0.905538514,0
11,BA,Energy Storage,4,1756.707332,12648.29279,0.905538514,0.905538514,0
12,BA,Energy Storage,5,1327.47124,9557.79293,0.905538514,0.905538514,0
