,gen.type.eia,fuel,TCR,PowerCapacity,EnergyCapacity,ChargeEfficiency,DischargeEfficiency,VariableCost
1,BA,Energy Storage,1,132.8,132.8,0.905538514,0.905538514,0
2,PS,Pumped Storage,3,1070,8560,0.888819442,0.888819442,0
3,PS,Pumped Storage,1,720,5760,0.888819442,0.888819442,0
4,BA,Energy Storage,5,12.5,12.5,0.905538514,0.905538514,0
5,BA,Energy Storage,4,42.1,43.6,0.905538514,0.905538514,0
6,PS,Pumped Storage,5,3003,24024,0.888819442,0.888819442,0
7,PS,Pumped Storage,4,420,3360,0.888819442,0.888819442,0
8,BA,Energy Storage,1,4178.934521,30088.32855,0.905538514,0.905538514,0
9,BA,Energy Storage,2,598.7384684,4310.916972,0.905538514,0.905538514,0
10,BA,Energy Storage,3,555.9168155,4002.601071,0.905538514,0.905538514,0
11,BA,Energy Storage,4,1317.530499,9486.219593,0.905538514,0.905538514,0
12,BA,Energy Storage,5,995.60343,7168.344698,0.905538514,0.905538514,0
