,datetime,windTCR1,windTCR2,windTCR3,windTCR4,windTCR5,solarTCR1,solarTCR2,solarTCR3,solarTCR4,solarTCR5,hour,date,hour.ending
1.0,2022-01-01 00:00:00,10119.0032189983,0,12098.6607913271,0,1369.85827805133,-10.3500360794943,0,-4.9942926093385,0,-14.5048201906941,1.0,01/01/2022,1.0
2.0,2022-01-01 01:00:00,9219.66964109538,0,13493.0657473217,0,1580.82758033192,-10.0578979643473,0,-4.95682604812816,0,-14.428139171322,2.0,01/01/2022,2.0
3.0,2022-01-01 02:00:00,9192.55019966448,0,16323.8459863846,0,1479.76139356819,-10.2665680465952,0,-5.07671904400125,0,-14.1012358782095,3.0,01/01/2022,3.0
4.0,2022-01-01 03:00:00,9283.19215694791,0,16774.0953862866,0,1190.91400557206,-9.89096189854899,0,-4.91935948691782,0,-14.3877807400735,4.0,01/01/2022,4.0
5.0,2022-01-01 04:00:00,9796.20186280203,0,15519.2016471166,0,956.198108346076,-9.89096189854899,0,-5.10669229296952,0,-14.6783614450624,5.0,01/01/2022,5.0
6.0,2022-01-01 05:00:00,8968.89726010473,0,13194.5677762878,0,1058.52267376425,-10.3500360794943,0,-4.90437286243368,0,-13.9801605844642,6.0,01/01/2022,6.0
7.0,2022-01-01 06:00:00,8098.56401445319,0,9070.51393318072,0,834.333326068989,-9.5570897669524,0,-5.05049245115401,0,-14.5734295238164,7.0,01/01/2022,7.0
8.0,2022-01-01 07:00:00,8267.0506874827,0,7260.54017807392,0,1011.24157016354,-9.59882378340197,0,-1.77216834524915,0,20.4173303685924,8.0,01/01/2022,8.0
9.0,2022-01-01 08:00:00,8870.3300909787,0,7257.43932435623,0,918.955755808908,190.348849026506,0,35.1923409448736,0,353.156452639589,9.0,01/01/2022,9.0
10.0,2022-01-01 09:00:00,11877.2867345663,0,7915.11951768868,0,762.167431099474,395.304603810363,0,107.27800471357,0,867.887884782361,10.0,01/01/2022,10.0
11.0,2022-01-01 10:00:00,12943.5461073525,0,6043.75429906595,0,1071.19836436774,1449.0885191621,0,182.803098801376,0,1841.42607088692,11.0,01/01/2022,11.0
12.0,2022-01-01 11:00:00,13488.0607344499,0,6451.05415493096,0,1380.91504330724,1930.65733497373,0,250.164229201449,0,2538.24263729334,12.0,01/01/2022,12.0
13.0,2022-01-01 12:00:00,14834.9255065186,0,6690.55430391529,0,1405.47463569792,2339.60896216311,0,213.967784416138,0,2825.39691146921,13.0,01/01/2022,13.0
14.0,2022-01-01 13:00:00,16416.2909947193,0,5856.56065621415,0,1431.04517273796,2252.71873991509,0,183.694802958183,0,2802.35628306947,14.0,01/01/2022,14.0
15.0,2022-01-01 14:00:00,17650.4917128145,0,3802.62587484493,0,1422.20824398484,2124.05276720106,0,164.73672298575,0,2618.49134198776,15.0,01/01/2022,15.0
16.0,2022-01-01 15:00:00,17515.443098816,0,2478.75174069202,0,1111.72098485806,1488.4019626576,0,68.9384726270281,0,2163.59128417082,16.0,01/01/2022,16.0
