,Unnamed: 0,date,hour.ending,hour,solarTCR1,solarTCR2,solarTCR3,solarTCR4,solarTCR5,windTCR1,windTCR2,windTCR3,windTCR4,windTCR5
0,1,2019-01-01,1,1,-8.53650264569388,0,-5.04491309801728,0,-10.82902065317808,33988.9886904562,0,51822.5646641522,0,2586.49407891752
1,2,2019-01-01,2,2,-8.53650264569388,0,-5.09235742182308,0,-11.30532945292976,29837.4434501544,0,51656.7859098444,0,2245.320093188
2,3,2019-01-01,3,3,-8.53650264569388,0,-5.18197447790072,0,-10.2826664416982,26670.0372230188,0,49429.345205142,0,2138.40984580348
3,4,2019-01-01,4,4,-8.33797932835216,0,-5.0396415064833,0,-11.24929312354722,22853.5727868862,0,48089.1331395514,0,1640.404981451438
4,5,2019-01-01,5,5,-8.33797932835216,0,-5.02909832341534,0,-11.22127495885594,20615.1224863218,0,47341.9540253374,0,1627.757179731066
5,6,2019-01-01,6,6,-8.33797932835216,0,-5.10290060489104,0,-11.19325679416466,18203.43829061146,0,49516.7328996874,0,1830.624938989658
6,7,2019-01-01,7,7,-8.13945601101044,0,-5.07654264722114,0,-10.24063919466128,14391.41667539264,0,47846.9689447,0,1920.83599014101
7,8,2019-01-01,8,8,-1.19113990405031,0,4.28053232559042,0,87.2205466839414,12077.07721434004,0,48975.8460480066,0,2299.74848291838
8,9,2019-01-01,9,9,305.328862071562,0,144.357262566463,0,776.887670559694,10845.14257373972,0,46866.6795738234,0,2605.90351837648
9,10,2019-01-01,10,10,1455.77148606682,0,304.11811559521,0,1833.858924455726,11483.59941738542,0,45493.0596223836,0,2512.8890884933
10,11,2019-01-01,11,11,2407.29374608568,0,552.895063266716,0,2834.26150384008,10890.04937944032,0,48681.020022803,0,2550.49720583266
11,12,2019-01-01,12,12,1817.083923628748,0,700.568156908052,0,3828.97639579208,9293.66797204512,0,51875.799528567,0,2567.69933379844
12,13,2019-01-01,13,13,3544.63383113638,0,1091.172003209712,0,3237.20473934766,8303.09951072722,0,50088.6781975606,0,2488.93463633954
13,14,2019-01-01,14,14,3154.93255919458,0,1314.529336504374,0,2306.06306308014,8088.4624979185,0,49388.3159662604,0,2510.00188780602
14,15,2019-01-01,15,15,2007.46778495946,0,702.624077606304,0,1591.866036017178,8015.71582051572,0,45288.1426416006,0,1900.34617881198
15,16,2019-01-01,16,16,1076.393426626796,0,340.929639276982,0,888.540056854428,6952.15686845218,0,40594.6498485328,0,1422.31888050574
16,17,2019-01-01,17,17,243.588110378288,0,53.543555210618,0,236.40326458264,5061.33924415088,0,36026.3076947352,0,1220.50355246541
17,18,2019-01-01,18,18,-8.33797932835216,0,8.60323738345266,0,-11.45942935873178,3937.5493662834,0,33308.1779222352,0,1116.7692258369
18,19,2019-01-01,19,19,-8.33797932835216,0,7.9864611739772,0,-12.10384714663112,3944.601892978,0,31463.810488376,0,819.210597586382
19,20,2019-01-01,20,20,-8.13945601101044,0,7.9601032163073,0,-11.65555651157072,3945.67647771122,0,23062.3288830864,0,897.919413741664
20,21,2019-01-01,21,21,-8.33797932835216,0,7.97591799090924,0,-12.39803787588952,2799.04941673158,0,15109.99137605664,0,876.572755757058
21,22,2019-01-01,22,22,-8.13945601101044,0,7.89684411789956,0,-10.82902065317808,1551.5919933041,0,9419.47661748462,0,915.6989818449
22,23,2019-01-01,23,23,-8.33797932835216,0,7.8863009348316,0,-10.78699340614116,1175.388005310328,0,7430.6472964458,0,786.59454337081
23,24,2019-01-01,24,24,-8.33797932835216,0,7.88102934329762,0,-11.75362008799018,1190.188378232768,0,4592.3522810203,0,791.726309753672
24,25,2019-01-02,1,25,-8.33797932835216,0,7.95483162477332,0,-10.25464827700692,1111.581150478134,0,3005.04792763984,0,890.515141011402
25,26,2019-01-02,2,26,-8.13945601101044,0,7.80722706182194,0,-11.23528404120158,1353.272414217684,0,2093.1215204306,0,883.83732522826
26,27,2019-01-02,3,27,-8.33797932835216,0,7.90738730096752,0,-10.73095707675862,1570.519132807112,0,2026.53496235738,0,927.59238596634
27,28,2019-01-02,4,28,-8.53650264569388,0,7.8124986533559,0,-10.31068460638948,1530.353142106066,0,2006.24955654162,0,802.325130341142
28,29,2019-01-02,5,29,-8.13945601101044,0,7.72815318881226,0,-12.93038300502376,1601.573728585192,0,2062.40689467566,0,826.363404450334
29,30,2019-01-02,6,30,-8.33797932835216,0,7.77032592108408,0,-10.9831205589801,1628.393196296998,0,1142.916437840178,0,937.399554752462
30,31,2019-01-02,7,31,-8.13945601101044,0,7.94956003323934,0,-10.99712964132574,1274.159499529762,0,125.8955835515102,0,818.484140639262
31,32,2019-01-02,8,32,-1.985233173417182,0,29.1308148167644,0,55.4199297593434,1212.863019116384,0,-223.368677598446,0,791.763563956088
32,33,2019-01-02,9,33,287.66028682815,0,278.155527290368,0,624.28673656866,2681.17921065676,0,-223.82710484852,0,805.575559501974
33,34,2019-01-02,10,34,688.081817906396,0,644.035609297668,0,911.65504272473,4808.8028017171,0,-224.457442317372,0,961.009405533866
34,35,2019-01-02,11,35,1350.157081241026,0,953.947203988722,0,1670.176806329294,5379.20863234054,0,-215.919234784748,0,772.326183845322
35,36,2019-01-02,12,36,1409.5155531262,0,1085.852967351928,0,2657.57895729688,10234.70620427236,0,-36.2157527558282,0,685.002333381244
36,37,2019-01-02,13,37,1191.933997319676,0,1043.680235080102,0,2332.91847393672,17451.28315809056,0,675.549856389966,0,423.375383361358
37,38,2019-01-02,14,38,952.11782997088,0,721.290783228122,0,2390.91607484768,22041.7375661136,0,2043.26755698506,0,401.47922589111
38,39,2019-01-02,15,39,489.757023882018,0,481.923626444766,0,1724.81222747728,26915.6927111104,0,3466.85607868292,0,215.059196999366
39,40,2019-01-02,16,40,225.125441865508,0,209.018604322242,0,1120.544469580536,33539.6768201072,0,6360.5634879611,0,153.701525619528
40,41,2019-01-02,17,41,18.85971514746324,0,17.9181396239924,0,169.0335875824666,33011.4687580418,0,10179.0332674506,0,187.9381376402142
41,42,2019-01-02,18,42,-8.33797932835216,0,-5.04491309801728,0,-11.01113872367138,32536.2675227334,0,17445.16248452618,0,271.210593591508
42,43,2019-01-02,19,43,-8.13945601101044,0,-4.93948126733772,0,-10.84302973552372,32683.8468361388,0,23698.3966925638,0,320.684174400508
43,44,2019-01-02,20,44,-8.13945601101044,0,-4.92893808426976,0,-10.82902065317808,31926.345870323,0,27810.603732538,0,356.215369955164
44,45,2019-01-02,21,45,-8.33797932835216,0,-4.86567898586202,0,-11.3193385352754,31675.1639464606,0,23572.673019231,0,174.9643616486974
45,46,2019-01-02,22,46,-8.13945601101044,0,-5.09762901335706,0,-10.32469368873512,32264.5240069584,0,19350.5007426453,0,117.6208305792292
46,47,2019-01-02,23,47,-8.33797932835216,0,-5.09762901335706,0,-13.21056465193652,30636.2391721472,0,16762.04857851,0,312.274038205002
47,48,2019-01-02,24,48,-8.33797932835216,0,-4.95529604193964,0,-10.81501157083244,25985.942133644,0,19344.42658158182,0,597.05447502669
