,datetime,windTCR1,windTCR2,windTCR3,windTCR4,windTCR5,solarTCR1,solarTCR2,solarTCR3,solarTCR4,solarTCR5,hour,date,hour.ending
1.0,2022-01-01 00:00:00,8948.97301583193,0,10156.3499927726,0,1173.84339837611,-8.66636339957858,0,-4.38407717444875,0,-12.6863501589117,1.0,01/01/2022,1.0
2.0,2022-01-01 01:00:00,8153.62670091282,0,11326.8981227681,0,1354.62481694327,-8.42174830362273,0,-4.35118837344013,0,-12.6192826427683,2.0,01/01/2022,2.0
3.0,2022-01-01 02:00:00,8129.6429997204,0,13703.2268219872,0,1268.02032797349,-8.59647337216262,0,-4.45643253666771,0,-12.3333632318413,3.0,01/01/2022,3.0
4.0,2022-01-01 03:00:00,8209.80429745659,0,14081.1934885722,0,1020.50450464339,-8.28196824879082,0,-4.31829957243152,0,-12.5839839500613,4.0,01/01/2022,4.0
5.0,2022-01-01 04:00:00,8663.4962190017,0,13027.7595392638,0,819.37442362173,-8.28196824879082,0,-4.4827435774746,0,-12.838134537552,5.0,01/01/2022,5.0
6.0,2022-01-01 05:00:00,7931.85038342061,0,11076.3208135731,0,907.057228136878,-8.66636339957858,0,-4.30514405202807,0,-12.2274671537201,6.0,01/01/2022,6.0
7.0,2022-01-01 06:00:00,7162.15117871099,0,7614.3397776506,0,714.947438390824,-8.002408139127,0,-4.43341037596168,0,-12.7463579365137,7.0,01/01/2022,7.0
8.0,2022-01-01 07:00:00,7311.15623956892,0,6094.93798172827,0,866.541641802948,-8.03735315283497,0,-1.55564028770762,0,17.8576086404937,8.0,01/01/2022,8.0
9.0,2022-01-01 08:00:00,7844.68024248225,0,6092.33493696353,0,787.461129840757,159.384207522088,0,30.8924507873947,0,308.881210532991,9.0,01/01/2022,9.0
10.0,2022-01-01 09:00:00,10503.9514454719,0,6644.4315980739,0,653.107859249561,330.999169841969,0,94.1705039279753,0,759.080737318634,10.0,01/01/2022,10.0
11.0,2022-01-01 10:00:00,11446.9224227938,0,5073.49408255496,0,917.919136973113,1213.36076596842,0,160.467749001147,0,1610.56639240577,11.0,01/01/2022,11.0
12.0,2022-01-01 11:00:00,11928.4764453749,0,5415.4062957758,0,1183.31803608937,1616.59127914478,0,219.598524334541,0,2220.02303107778,12.0,01/01/2022,12.0
13.0,2022-01-01 12:00:00,13119.6072554321,0,5616.45725326274,0,1204.3633630816,1959.01746846926,0,187.824653680115,0,2471.17675955767,13.0,01/01/2022,13.0
14.0,2022-01-01 13:00:00,14518.1241622661,0,4916.35238017845,0,1226.27497728164,1886.26194992924,0,161.250502465152,0,2451.02473589122,14.0,01/01/2022,14.0
15.0,2022-01-01 14:00:00,15609.6179273455,0,3192.15489570411,0,1218.70253665403,1778.52647266755,0,144.608769154792,0,2290.21095165647,15.0,01/01/2022,15.0
16.0,2022-01-01 15:00:00,15490.1845823467,0,2080.81461724335,0,952.643320715052,1246.27896888133,0,60.5153938558567,0,1892.34173680902,16.0,01/01/2022,16.0
17.0,2022-01-01 16:00:00,16124.7231408301,0,2501.22918047442,0,821.894531862596,269.810450839299,0,2.72977048371528,0,565.675670107467,17.0,01/01/2022,17.0
18.0,2022-01-01 17:00:00,16904.9514935888,0,1709.81223709027,0,878.451576422043,-8.77119844070251,0,-4.49261021777719,0,-11.7403451943629,18.0,01/01/2022,18.0
19.0,2022-01-01 18:00:00,18022.155901861,0,1162.00831646911,0,1376.75451743338,-8.14218819395891,0,-4.29856629182634,0,-13.0746357786892,19.0,01/01/2022,19.0
20.0,2022-01-01 19:00:00,17740.8347397106,0,1171.21030804972,0,1319.96727067885,-8.77119844070251,0,-4.32158845253238,0,-12.52750604173,20.0,01/01/2022,20.0
21.0,2022-01-01 20:00:00,16683.986665565,0,1630.41937176578,0,1380.6073752247,-9.05075855036634,0,-4.32158845253238,0,-12.6898800281824,21.0,01/01/2022,21.0
22.0,2022-01-01 21:00:00,15770.991704905,0,3205.5354591439,0,1257.33409975982,-8.52658334474667,0,-4.34132173313755,0,-12.647521596934,22.0,01/01/2022,22.0
23.0,2022-01-01 22:00:00,16543.402612856,0,6168.23424220902,0,1713.56456064418,-8.28196824879082,0,-4.27554413112031,0,-12.3157138854877,23.0,01/01/2022,23.0
24.0,2022-01-01 23:00:00,16303.4096563365,0,7281.7437246404,0,1672.6128017301,-8.6314183858706,0,-4.32487733263324,0,-12.1921684610131,24.0,01/01/2022,24.0
25.0,2022-01-02 00:00:00,15579.185628349,0,6842.49133745399,0,1662.9988311093,-7.54812296092328,0,-4.35776613364186,0,-13.5476382609636,25.0,01/02/2022,1.0
26.0,2022-01-02 01:00:00,14628.0217840454,0,5609.83547272087,0,1813.46625535603,-7.54812296092328,0,-4.42354373565909,0,-13.865326495327,26.0,01/02/2022,2.0
27.0,2022-01-02 02:00:00,14034.1270076911,0,6217.46375547897,0,1823.72236894206,-7.33845287867541,0,-4.40052157495306,0,-13.5017499604444,27.0,01/02/2022,3.0
28.0,2022-01-02 03:00:00,13262.0828583254,0,6607.85196901154,0,1762.99745306118,-7.54812296092328,0,-4.4827435774746,0,-14.020640743238,28.0,01/02/2022,4.0
29.0,2022-01-02 04:00:00,12395.3630124045,0,6741.22376261531,0,1695.09386346533,-7.05889276901159,0,-4.39394381475134,0,-13.9182745343876,29.0,01/02/2022,5.0
30.0,2022-01-02 05:00:00,11440.6297695851,0,7475.99023177742,0,1667.11218085821,-7.54812296092328,0,-4.32487733263324,0,-13.614705777107,30.0,01/02/2022,6.0
31.0,2022-01-02 06:00:00,11049.5755938393,0,8007.83337792005,0,1713.74629921925,-7.05889276901159,0,-4.48603245757547,0,-13.6888330317918,31.0,01/02/2022,7.0
32.0,2022-01-02 07:00:00,10185.1573746312,0,7300.21620897963,0,1709.92978914293,-4.68263183686907,0,0.138132964236195,0,7.32800860598239,32.0,01/02/2022,8.0
33.0,2022-01-02 08:00:00,9588.00797681463,0,5613.23769789583,0,1652.68213799825,150.228613930598,0,46.3436095012433,0,216.741032959793,33.0,01/02/2022,9.0
34.0,2022-01-02 09:00:00,9766.48945405678,0,5568.50642864916,0,578.631391188954,1199.24298043039,0,150.009110280407,0,525.410451336542,34.0,01/02/2022,10.0
35.0,2022-01-02 10:00:00,9161.82006130885,0,7496.67758753928,0,344.3521940759,1976.24536022729,0,219.348569446875,0,1012.42298474636,35.0,01/02/2022,11.0
36.0,2022-01-02 11:00:00,9024.23649812895,0,5985.15342708917,0,647.467905470122,3196.1408437591,0,306.984068614438,0,1366.98776338081,36.0,01/02/2022,12.0
37.0,2022-01-02 12:00:00,7790.98620801259,0,7043.79346592701,0,1126.27635532975,3977.89574542028,0,397.066494577043,0,1521.23246090278,37.0,01/02/2022,13.0
38.0,2022-01-02 13:00:00,4985.23393631941,0,7637.03650130103,0,1148.62414210994,3233.14761327585,0,414.11604901991,0,1192.86284212623,38.0,01/02/2022,14.0
39.0,2022-01-02 14:00:00,4046.49656597501,0,9162.80890677918,0,1330.90187494511,2112.5309136884,0,289.220827189684,0,721.911213898116,39.0,01/02/2022,15.0
40.0,2022-01-02 15:00:00,3774.79487506746,0,9643.18483450323,0,1569.18537866204,1334.65490854881,0,121.422164443716,0,418.098895637857,40.0,01/02/2022,16.0
41.0,2022-01-02 16:00:00,4300.152001765,0,9111.79836288073,0,839.15363854103,463.266046726666,0,8.48531066022339,0,73.7530885420983,41.0,01/02/2022,17.0
42.0,2022-01-02 17:00:00,4013.17929196455,0,8410.78014075618,0,905.239842386253,-3.73911646675366,0,-4.4399881361634,0,-14.2783211999994,42.0,01/02/2022,18.0
43.0,2022-01-02 18:00:00,3961.19776018087,0,8110.35680768909,0,647.019616984968,-8.002408139127,0,-4.41038821525565,0,-13.7735498942887,43.0,01/02/2022,19.0
44.0,2022-01-02 19:00:00,3837.34309711761,0,5879.66161293929,0,810.29961077361,-8.002408139127,0,-4.31172181222979,0,-13.9888719198016,44.0,01/02/2022,20.0
45.0,2022-01-02 20:00:00,4614.46122155791,0,5307.44843921722,0,1247.53839056395,-7.75779304317115,0,-4.36763277394444,0,-14.0735887822986,45.0,01/02/2022,21.0
