,datetime,windTCR1,windTCR2,windTCR3,windTCR4,windTCR5,solarTCR1,solarTCR2,solarTCR3,solarTCR4,solarTCR5,hour,date,hour.ending
1.0,2021-01-01 00:00:00,7342.7754316918,0,2421.88758171569,0,554.48040978348,-28.9426801248588,0,4.77622531124263,0,-14.6403655956244,1.0,01/01/2021,1.0
2.0,2021-01-01 01:00:00,8422.78783516486,0,2912.12198859726,0,585.111512815727,-21.5781304747675,0,4.74953006031813,0,-15.2425790439062,2.0,01/01/2021,2.0
3.0,2021-01-01 02:00:00,9597.58007929638,0,3687.9163538855,0,601.003366391319,-29.1636166143615,0,4.73840703909958,0,-15.5107917561662,3.0,01/01/2021,3.0
4.0,2021-01-01 03:00:00,10990.4387413849,0,5392.21302911626,0,606.973929849873,-21.0626119992611,0,4.72728401788104,0,-14.8984570734595,4.0,01/01/2021,4.0
5.0,2021-01-01 04:00:00,10706.2381440716,0,6934.6412320619,0,537.699086791343,-21.0626119992611,0,4.68279193300687,0,-16.0877021183857,5.0,01/01/2021,5.0
6.0,2021-01-01 05:00:00,14418.2900145409,0,9256.07973020873,0,435.966022274082,-29.9737170758715,0,4.7161609966625,0,-15.429821880767,6.0,01/01/2021,6.0
7.0,2021-01-01 06:00:00,16259.2864154086,0,11325.8960757727,0,188.641638758784,-22.020003453773,0,4.82294200036052,0,-14.8478509013349,7.0,01/01/2021,7.0
8.0,2021-01-01 07:00:00,15551.7219706879,0,12889.1790969417,0,239.422930198329,6.03893071307486,0,38.8415900951543,0,18.4155860361138,8.0,01/01/2021,8.0
9.0,2021-01-01 08:00:00,15977.5683414048,0,14870.0213815807,0,244.181591576841,357.622531008433,0,206.741370784827,0,341.06029703322,9.0,01/01/2021,9.0
10.0,2021-01-01 09:00:00,13821.3428219566,0,16139.0224526094,0,373.043473298706,926.681282470987,0,416.557144634459,0,755.868968703508,10.0,01/01/2021,10.0
11.0,2021-01-01 10:00:00,10655.7873510244,0,16876.9565521043,0,284.993413305952,1866.32417232613,0,351.945738980182,0,899.595558154364,11.0,01/01/2021,11.0
